Shipment_ID,Origin_City,Destination_City,Shipment_Type,Weight_kg,Distance_km,Customer_Segment,On_Time,vehicle_type,fuel_type,traffic_intensity,avg_speed_kmph,capacity_kg,load_factor,emission_factor,co2_emission_kg,lane_id
1,Konya,İstanbul,Kara,1054.93,1052.0,Bireysel,1,Hybrid,Petrol,0,78.49359096973456,,,,,Konya_İstanbul
2,Bursa,Gaziantep,Kara,929.03,1811.4,Kurumsal,0,Hybrid,Electric,1,115.83049854509862,,,,,Bursa_Gaziantep
3,Gaziantep,Bursa,Hava,473.13,1785.3,Bireysel,1,Diesel,Diesel,1,93.04309703738907,12000.0,0.2,0.45,160.67700000000002,Gaziantep_Bursa
4,Antalya,Bursa,Kara,609.87,1644.8,Bireysel,1,Hybrid,Petrol,1,10.0,,,,,Antalya_Bursa
5,Konya,Antalya,Kara,583.49,1044.8,Kurumsal,0,Diesel,Electric,0,61.763974434856365,12000.0,0.2,0.45,94.032,Konya_Antalya
6,Kayseri,Gaziantep,Hava,1128.76,1485.7,Bireysel,1,Hybrid,Petrol,1,45.07870649336284,,,,,Kayseri_Gaziantep
7,İzmir,Antalya,Hava,244.31,1050.1,Bireysel,0,Hybrid,Diesel,1,64.99930394915147,,,,,İzmir_Antalya
8,Konya,Gaziantep,Kara,1834.0,1745.7,Bireysel,0,Electric,Electric,1,85.93004261036606,4000.0,0.4585,0.05,40.02017250000001,Konya_Gaziantep
9,Gaziantep,Kayseri,Deniz,1442.71,835.4,Bireysel,1,Diesel,Diesel,1,40.12486667108888,12000.0,0.2,0.45,75.186,Gaziantep_Kayseri
10,Antalya,İstanbul,Hava,805.88,1942.0,Bireysel,1,Hybrid,Electric,1,37.910553041956014,,,,,Antalya_İstanbul
11,Bursa,Kayseri,Kara,321.46,1868.0,Bireysel,1,Hybrid,Petrol,1,68.45105666889697,,,,,Bursa_Kayseri
12,Gaziantep,Samsun,Hava,1764.57,1496.1,Bireysel,1,Electric,Electric,0,60.994887698813805,4000.0,0.4411425,0.05,32.9996647125,Gaziantep_Samsun
13,Gaziantep,Adana,Kara,1648.44,594.9,Bireysel,1,Hybrid,Diesel,0,64.40950874812708,,,,,Gaziantep_Adana
14,İzmir,Antalya,Kara,1444.83,306.7,Kurumsal,1,Hybrid,Diesel,0,28.696833223768166,,,,,İzmir_Antalya
15,Adana,Gaziantep,Kara,546.74,1716.7,Kurumsal,1,Hybrid,Petrol,0,51.19180172259377,,,,,Adana_Gaziantep
16,Antalya,Samsun,Kara,807.88,372.3,Kurumsal,1,Diesel,Diesel,0,20.35219027318364,12000.0,0.2,0.45,33.507,Antalya_Samsun
17,Ankara,Adana,Hava,209.98,1715.8,Kurumsal,1,Electric,Electric,0,65.71182658866768,4000.0,0.2,0.05,17.158,Ankara_Adana
18,Gaziantep,Konya,Kara,382.13,1007.0,Bireysel,1,Diesel,Diesel,1,70.44959879850116,12000.0,0.2,0.45,90.63,Gaziantep_Konya
19,Adana,İstanbul,Hava,1567.12,842.8,Kurumsal,1,Electric,Electric,1,61.04227040774399,4000.0,0.3917799999999999,0.05,16.5096092,Adana_İstanbul
20,Ankara,Antalya,Hava,1431.5,1811.2,Bireysel,1,Diesel,Petrol,0,32.65925250918312,12000.0,0.2,0.45,163.00800000000004,Ankara_Antalya
21,Antalya,Kayseri,Kara,1189.0,1227.5,Bireysel,0,Diesel,Electric,1,75.46321338417997,12000.0,0.2,0.45,110.475,Antalya_Kayseri
22,İstanbul,Kayseri,Hava,1791.97,1174.4,Bireysel,0,Diesel,Diesel,1,84.91774085617196,12000.0,0.2,0.45,105.696,İstanbul_Kayseri
23,Kayseri,Bursa,Kara,1168.62,1139.6,Bireysel,1,Diesel,Petrol,0,56.6830300245399,12000.0,0.2,0.45,102.564,Kayseri_Bursa
24,Adana,Samsun,Kara,936.6,773.8,Kurumsal,0,Electric,Petrol,1,87.01794384362717,4000.0,0.23415,0.05,9.0592635,Adana_Samsun
25,Samsun,Konya,Hava,684.04,1582.0,Kurumsal,1,Hybrid,Diesel,2,100.98122635926596,,,,,Samsun_Konya
26,İstanbul,Samsun,Kara,1881.19,543.0,Bireysel,1,Hybrid,Petrol,0,39.81250656311531,,,,,İstanbul_Samsun
27,Kayseri,İstanbul,Kara,170.02,1880.8,Kurumsal,1,Electric,Electric,2,29.128648854602663,4000.0,0.2,0.05,18.808000000000003,Kayseri_İstanbul
28,İzmir,Adana,Kara,1862.12,1793.3,Bireysel,1,Hybrid,Electric,1,49.3192236123364,,,,,İzmir_Adana
29,Konya,Gaziantep,Kara,1654.3,708.1,Bireysel,0,Electric,Electric,1,72.19625860731449,4000.0,0.4135749999999999,0.05,14.642622875,Konya_Gaziantep
30,Bursa,İzmir,Kara,264.21,1472.5,Bireysel,1,Diesel,Diesel,0,89.74779120152616,12000.0,0.2,0.45,132.525,Bursa_İzmir
31,Samsun,Gaziantep,Kara,1132.14,1167.8,Bireysel,1,Hybrid,Electric,2,36.0134974936026,,,,,Samsun_Gaziantep
32,İzmir,Antalya,Deniz,1733.76,708.4,Kurumsal,1,Diesel,Electric,1,46.56167985646796,12000.0,0.2,0.45,63.756,İzmir_Antalya
33,Antalya,Samsun,Kara,1145.76,1977.6,Kurumsal,1,Electric,Petrol,2,55.42096905675696,4000.0,0.28644,0.05,28.3231872,Antalya_Samsun
34,İzmir,Antalya,Kara,1814.86,99.2,Kurumsal,1,Electric,Diesel,1,43.9355099247617,4000.0,0.453715,0.05,2.2504264000000003,İzmir_Antalya
35,Konya,Samsun,Kara,1886.25,542.7,Bireysel,1,Hybrid,Electric,1,92.52475699741494,,,,,Konya_Samsun
36,Antalya,Kayseri,Kara,847.66,1064.1,Kurumsal,1,Electric,Electric,1,59.1104457613681,4000.0,0.211915,0.05,11.274937575,Antalya_Kayseri
